GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_discharge_efficiency,gen_land_use_rate,gen_storage_energy_to_power_ratio,gen_type,gen_capacity_limit_mw
CASO_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,CASO,60,FALSE,FALSE,8.84,4.547,0,CASO_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,48.6
CASO_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,CASO,30,TRUE,FALSE,.,0,0,CASO_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,416.1
CASO_petroleum_liquids_1,Petroleum Liquids,Diesel,CASO,40,FALSE,FALSE,.,7.919,0,CASO_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,3.3
CASO_small_hydroelectric_1,Small Hydroelectric,Water,CASO,100,FALSE,FALSE,.,0,0,CASO_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,225.2
CASO_solar_photovoltaic_1,Solar Photovoltaic,Solar,CASO,30,TRUE,FALSE,.,0,0,CASO_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,6500.5
FRCC_biomass_1,Biomass,Bio Solid,FRCC,50,FALSE,FALSE,.,5.433,0,FRCC_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,468.3
FRCC_conventional_hydroelectric_1,Conventional Hydroelectric,Water,FRCC,100,FALSE,FALSE,.,0,0,FRCC_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,43.5
FRCC_conventional_steam_coal_1,Conventional Steam Coal,Coal,FRCC,65,FALSE,TRUE,11.76,1.879,0,FRCC_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,898
FRCC_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,FRCC,60,FALSE,FALSE,7.229,3.635,0,FRCC_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,37450.7
FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,FRCC,50,FALSE,FALSE,11.301,5.279,0,FRCC_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,6834.6
FRCC_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,FRCC,60,FALSE,FALSE,8.322,4.281,0,FRCC_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,232.4
FRCC_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,FRCC,50,FALSE,FALSE,11.318,1.056,0,FRCC_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,335
FRCC_nuclear_1,Nuclear,Uranium,FRCC,80,FALSE,TRUE,10.446,2.841,0,FRCC_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,3737
FRCC_petroleum_liquids_1,Petroleum Liquids,Diesel,FRCC,40,FALSE,FALSE,.,8.544,0,FRCC_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,2.6
FRCC_solar_photovoltaic_1,Solar Photovoltaic,Solar,FRCC,30,TRUE,FALSE,.,0,0,FRCC_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,5877.7
ISNE_biomass_1,Biomass,Bio Solid,ISNE,50,FALSE,FALSE,.,5.279,0,ISNE_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,155.2
ISNE_conventional_hydroelectric_1,Conventional Hydroelectric,Water,ISNE,100,FALSE,FALSE,.,0,0,ISNE_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,464.8
ISNE_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,Electricity,ISNE,100,FALSE,FALSE,.,0,0,ISNE_hydroelectric_pumped_storage_1,0.05,0.05,0,FALSE,0.749956,1,1,.,.,.,.,Hydro,1768
ISNE_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,ISNE,60,FALSE,FALSE,7.736,3.812,0,ISNE_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,13445.9
ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,ISNE,50,FALSE,FALSE,10.77,5.279,0,ISNE_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,1753.4
ISNE_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,ISNE,60,FALSE,FALSE,8.376,4.308,0,ISNE_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,52.4
ISNE_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,ISNE,50,FALSE,FALSE,9.381,1.056,0,ISNE_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,10.2
ISNE_nuclear_1,Nuclear,Uranium,ISNE,80,FALSE,TRUE,10.446,2.841,0,ISNE_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,3348.1
ISNE_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,ISNE,30,TRUE,FALSE,.,0,0,ISNE_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,39.8
ISNE_petroleum_liquids_1,Petroleum Liquids,Diesel,ISNE,40,FALSE,FALSE,.,5.955,0,ISNE_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,392.4
ISNE_small_hydroelectric_1,Small Hydroelectric,Water,ISNE,100,FALSE,FALSE,.,0,0,ISNE_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,449.8
ISNE_solar_photovoltaic_1,Solar Photovoltaic,Solar,ISNE,30,TRUE,FALSE,.,0,0,ISNE_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,1159.8
MISC_biomass_1,Biomass,Bio Solid,MISC,50,FALSE,FALSE,.,4.409,0,MISC_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,91.5
MISC_conventional_hydroelectric_1,Conventional Hydroelectric,Water,MISC,100,FALSE,FALSE,.,0,0,MISC_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,276.6
MISC_conventional_steam_coal_1,Conventional Steam Coal,Coal,MISC,65,FALSE,TRUE,9.744,1.879,0,MISC_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,2698.4
MISC_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,Electricity,MISC,100,FALSE,FALSE,.,0,0,MISC_hydroelectric_pumped_storage_1,0.05,0.05,0,FALSE,0.749956,1,1,.,.,.,.,Hydro,471
MISC_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,MISC,60,FALSE,FALSE,7.407,3.759,0,MISC_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,5234.1
MISC_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,MISC,50,FALSE,FALSE,12.457,5.279,0,MISC_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,5522.2
MISC_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,MISC,60,FALSE,FALSE,9.027,4.643,0,MISC_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,33.9
MISC_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,MISC,50,FALSE,FALSE,9.412,1.056,0,MISC_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,47.9
MISC_nuclear_1,Nuclear,Uranium,MISC,80,FALSE,TRUE,10.447,2.841,0,MISC_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,2373
MISC_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,MISC,30,TRUE,FALSE,.,0,0,MISC_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,1568.1
MISC_petroleum_liquids_1,Petroleum Liquids,Diesel,MISC,40,FALSE,FALSE,.,4.793,0,MISC_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,36.3
MISC_small_hydroelectric_1,Small Hydroelectric,Water,MISC,100,FALSE,FALSE,.,0,0,MISC_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,12.888
MISC_solar_photovoltaic_1,Solar Photovoltaic,Solar,MISC,30,TRUE,FALSE,.,0,0,MISC_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,3653.6
MISE_biomass_1,Biomass,Bio Solid,MISE,50,FALSE,FALSE,.,6.087,0,MISE_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,49.2
MISE_conventional_steam_coal_1,Conventional Steam Coal,Coal,MISE,65,FALSE,TRUE,12.398,1.879,0,MISE_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,61.4
MISE_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,Electricity,MISE,100,FALSE,FALSE,.,0,0,MISE_hydroelectric_pumped_storage_1,0.05,0.05,0,FALSE,0.749956,1,1,.,.,.,.,Hydro,2047
MISE_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,MISE,60,FALSE,FALSE,7.074,3.72,0,MISE_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,6717.6
MISE_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,MISE,50,FALSE,FALSE,11.684,5.279,0,MISE_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,2996
MISE_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,MISE,60,FALSE,FALSE,9.477,4.875,0,MISE_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,73.2
MISE_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,MISE,50,FALSE,FALSE,22.871,1.056,0,MISE_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,88.2
MISE_nuclear_1,Nuclear,Uranium,MISE,80,FALSE,TRUE,10.501,2.856,0,MISE_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,1161
MISE_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,MISE,30,TRUE,FALSE,.,0,0,MISE_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,1070.6
MISE_small_hydroelectric_1,Small Hydroelectric,Water,MISE,100,FALSE,FALSE,.,0,0,MISE_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,12.9
MISE_solar_photovoltaic_1,Solar Photovoltaic,Solar,MISE,30,TRUE,FALSE,.,0,0,MISE_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,977.3
MISS_biomass_1,Biomass,Bio Solid,MISS,50,FALSE,FALSE,.,3.982,0,MISS_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,110.6
MISS_conventional_hydroelectric_1,Conventional Hydroelectric,Water,MISS,100,FALSE,FALSE,.,0,0,MISS_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,521.4
MISS_conventional_steam_coal_1,Conventional Steam Coal,Coal,MISS,65,FALSE,TRUE,10.083,1.879,0,MISS_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,680
MISS_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,MISS,60,FALSE,FALSE,7.789,3.65,0,MISS_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,19964.5
MISS_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,MISS,50,FALSE,FALSE,11.556,5.279,0,MISS_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,3240.6
MISS_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,MISS,60,FALSE,FALSE,9.05,4.655,0,MISS_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,82.8
MISS_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,MISS,50,FALSE,FALSE,12.741,1.056,0,MISS_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,30
MISS_nuclear_1,Nuclear,Uranium,MISS,80,FALSE,TRUE,10.451,2.842,0,MISS_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,5426
MISS_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,MISS,30,TRUE,FALSE,.,0,0,MISS_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,184.5
MISS_petroleum_liquids_1,Petroleum Liquids,Diesel,MISS,40,FALSE,FALSE,.,5.916,0,MISS_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,1.8
MISS_small_hydroelectric_1,Small Hydroelectric,Water,MISS,100,FALSE,FALSE,.,0,0,MISS_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,36.6
MISS_solar_photovoltaic_1,Solar Photovoltaic,Solar,MISS,30,TRUE,FALSE,.,0,0,MISS_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,1834.2
MISW_biomass_1,Biomass,Bio Solid,MISW,50,FALSE,FALSE,.,5.947,0,MISW_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,273.4
MISW_conventional_hydroelectric_1,Conventional Hydroelectric,Water,MISW,100,FALSE,FALSE,.,0,0,MISW_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,67.3
MISW_conventional_steam_coal_1,Conventional Steam Coal,Coal,MISW,65,FALSE,TRUE,11.358,1.879,0,MISW_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,3229.1
MISW_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,MISW,60,FALSE,FALSE,7.241,3.751,0,MISW_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,7688.6
MISW_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,MISW,50,FALSE,FALSE,11.718,5.279,0,MISW_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,4249.5
MISW_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,MISW,60,FALSE,FALSE,8.566,4.407,0,MISW_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,664.8
MISW_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,MISW,50,FALSE,FALSE,18.369,1.056,0,MISW_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,146.9
MISW_nuclear_1,Nuclear,Uranium,MISW,80,FALSE,TRUE,10.446,2.841,0,MISW_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,2343
MISW_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,MISW,30,TRUE,FALSE,.,0,0,MISW_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,3472.6
MISW_petroleum_liquids_1,Petroleum Liquids,Diesel,MISW,40,FALSE,FALSE,.,5.471,0,MISW_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,165.9
MISW_small_hydroelectric_1,Small Hydroelectric,Water,MISW,100,FALSE,FALSE,.,0,0,MISW_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,196.1
MISW_solar_photovoltaic_1,Solar Photovoltaic,Solar,MISW,30,TRUE,FALSE,.,0,0,MISW_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,1893.3
NWPP_biomass_1,Biomass,Bio Solid,NWPP,50,FALSE,FALSE,.,8.533,0,NWPP_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,234.1
NWPP_conventional_hydroelectric_1,Conventional Hydroelectric,Water,NWPP,100,FALSE,FALSE,.,0,0,NWPP_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,28244
NWPP_conventional_steam_coal_1,Conventional Steam Coal,Coal,NWPP,65,FALSE,TRUE,11.284,1.879,0,NWPP_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,889
NWPP_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,Electricity,NWPP,100,FALSE,FALSE,.,0,0,NWPP_hydroelectric_pumped_storage_1,0.05,0.05,0,FALSE,0.749956,1,1,.,.,.,.,Hydro,314
NWPP_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,NWPP,60,FALSE,FALSE,7.388,4.199,0,NWPP_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,6421.2
NWPP_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,NWPP,50,FALSE,FALSE,12.545,5.279,0,NWPP_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,411.5
NWPP_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,NWPP,60,FALSE,FALSE,8.778,4.516,0,NWPP_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,305
NWPP_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,NWPP,50,FALSE,FALSE,9.21,1.056,0,NWPP_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,3
NWPP_nuclear_1,Nuclear,Uranium,NWPP,80,FALSE,TRUE,10.446,2.841,0,NWPP_nuclear_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,1172
NWPP_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,NWPP,30,TRUE,FALSE,.,0,0,NWPP_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,749.1
NWPP_petroleum_liquids_1,Petroleum Liquids,Diesel,NWPP,40,FALSE,FALSE,.,4.738,0,NWPP_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,2
NWPP_small_hydroelectric_1,Small Hydroelectric,Water,NWPP,100,FALSE,FALSE,.,0,0,NWPP_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,670.7
NWPP_solar_photovoltaic_1,Solar Photovoltaic,Solar,NWPP,30,TRUE,FALSE,.,0,0,NWPP_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,1015.9
NYCW_biomass_1,Biomass,Bio Solid,NYCW,50,FALSE,FALSE,.,3.957,0,NYCW_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,1.264
NYCW_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,NYCW,60,FALSE,FALSE,8.191,3.918,0,NYCW_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,4184.2
